Stadsdeel,2001,2015
Amsterdam,6.9,7.5
Centrum,7.7,8.1
Nieuw-West,6.5,6.7
Noord,7.1,7.0
Oost,6.7,7.6
West,6.4,7.6
Westpoort,null,null
Zuid,7.6,8.0
Zuidoost,6.5,7.2
