neighbourhood,stadsdeel,lat,long
Noord-Oost,Noord,52.38321681317853,4.964143576125548
Noord-Oost,Noord,52.40700507925355,4.933508070228482
Noord-Oost,Noord,52.39933085311902,4.932646903429829
Noord-Oost,Noord,52.40319980976761,4.944405472038638
Noord-Oost,Noord,52.410792647116786,4.961213564267616
Noord-Oost,Noord,52.406646029320655,4.928136325823258
Noord-Oost,Noord,52.41324444611566,4.946152859586055
Noord-Oost,Noord,52.41048558855645,4.961479907175513
Noord-Oost,Noord,52.40809582710665,4.995068872861598
Noord-Oost,Noord,52.37778852843909,4.993286407913424
Noord-Oost,Noord,52.374395868370634,4.979868851110586
Noord-Oost,Noord,52.39294227389612,4.950951554110577
Noord-Oost,Noord,52.39391933003092,4.955315780324563
Noord-Oost,Noord,52.39735771428765,5.004451413105496
Noord-Oost,Noord,52.41077188917329,4.9611698052058975
Noord-Oost,Noord,52.38516199636309,4.957860838331678
Noord-Oost,Noord,52.38606915680533,4.957696521637744
Noord-Oost,Noord,52.38177509748901,4.965553700830293
Noord-Oost,Noord,52.39553330590017,4.9410197683784265
Noord-Oost,Noord,52.40407190905868,4.930830646338759
Noord-Oost,Noord,52.421283245162996,5.002262410875266
Noord-Oost,Noord,52.394770523573634,4.931712598174663
Noord-Oost,Noord,52.40675793983627,4.929601186421234
Noord-Oost,Noord,52.39602573549029,4.995210182661925
Noord-Oost,Noord,52.389066074531605,4.954847611182758
Noord-Oost,Noord,52.395586294686176,4.955375193697261
Noord-Oost,Noord,52.40697347400426,4.932381891936562
Noord-Oost,Noord,52.38988386717861,4.95613818864362
Noord-Oost,Noord,52.37918183032429,4.996370322936378
Noord-Oost,Noord,52.39901619556302,4.929945259732891
Noord-Oost,Noord,52.39367184434401,4.954516652085803
Noord-Oost,Noord,52.39674953823747,4.957236916369603
Noord-Oost,Noord,52.414304498403425,5.027688954448574
Noord-Oost,Noord,52.404935423270466,4.928441704767568
Noord-Oost,Noord,52.407576802693406,4.964702082604021
Noord-Oost,Noord,52.3984750825128,4.945117657937271
Noord-Oost,Noord,52.37994424797125,5.000105588352865
Noord-Oost,Noord,52.387271962868404,4.956628002582922
Noord-Oost,Noord,52.39621125198737,4.945447656056266
Noord-Oost,Noord,52.408424733473126,4.934696987880022
Noord-Oost,Noord,52.39890501813169,4.950883451095282
Noord-Oost,Noord,52.403663617199186,4.945924942388901
Noord-Oost,Noord,52.395971560575234,4.939867189106429
Noord-Oost,Noord,52.39831470621982,4.925242169361386
Noord-Oost,Noord,52.39449780411922,4.945398676032854
Noord-Oost,Noord,52.39514030789004,4.931766020678771
Noord-Oost,Noord,52.38655094788697,4.955695705146791
Noord-Oost,Noord,52.40991541897414,4.962910611730041
Noord-Oost,Noord,52.413163650845966,4.945775227762968
Noord-Oost,Noord,52.40383082087025,4.938426697218918
Noord-Oost,Noord,52.401506615986385,4.937348672794831
Noord-Oost,Noord,52.39368433825244,4.955274494136902
Noord-Oost,Noord,52.39352414342618,4.9547021815550725
Noord-Oost,Noord,52.38839235315761,4.957000023173438
Noord-Oost,Noord,52.37701145680322,4.978152707300466
Noord-Oost,Noord,52.394484036643576,4.930343500004239
Noord-Oost,Noord,52.39644880280847,4.9511596851812625
Noord-Oost,Noord,52.40692566617077,4.932043914310048
Noord-Oost,Noord,52.39711340113671,4.940607195787829
Noord-Oost,Noord,52.38361888809258,4.977971999672187
Noord-Oost,Noord,52.403939859923284,4.929715128959312
Noord-Oost,Noord,52.39549794275491,4.995761024623377
Noord-Oost,Noord,52.40695501337769,4.92938661409129
Noord-Oost,Noord,52.39039599527,4.957286047725989
Noord-Oost,Noord,52.405425033615465,4.933314821353228
Noord-Oost,Noord,52.395551404520425,4.957826463263912
Noord-Oost,Noord,52.3960862800791,4.950179985088723
Noord-Oost,Noord,52.379024470208236,4.975130069169515
Noord-Oost,Noord,52.400287653726664,4.93131141245925
Noord-Oost,Noord,52.38388865227363,4.966102571534406
Noord-Oost,Noord,52.4088998377426,4.966513715793625
Noord-Oost,Noord,52.396805503621934,4.954288933892336
Noord-Oost,Noord,52.39110420987736,4.953849003375745
Noord-Oost,Noord,52.396249376365645,4.946205718833967
Noord-Oost,Noord,52.39342253803045,4.956141658580853
Noord-Oost,Noord,52.40653759287596,4.995237782004904
Noord-Oost,Noord,52.37514509550576,4.984980916653469
Noord-Oost,Noord,52.39699872045677,4.942198938998199
Noord-Oost,Noord,52.393130278058095,4.95764110869786
Noord-Oost,Noord,52.397180943524425,4.93174029057654
Noord-Oost,Noord,52.385229650883296,4.955804153849666
Noord-Oost,Noord,52.385572947728996,4.957303395472305
Noord-Oost,Noord,52.38916587801893,4.9582208006814605
Noord-Oost,Noord,52.39182306737451,4.9517079791134595
Noord-Oost,Noord,52.396352199519626,4.996203556087988
Noord-Oost,Noord,52.389901875402344,4.957005683747336
Noord-Oost,Noord,52.39615039855739,4.932147102638534
Noord-Oost,Noord,52.399368744177565,4.940408932941706
Noord-Oost,Noord,52.3783051318318,4.9921174782451345
Noord-Oost,Noord,52.39515112308563,4.958788395536168
Noord-Oost,Noord,52.39173447734964,4.952974450117651
Noord-Oost,Noord,52.38466298631033,4.957892804594077
Noord-Oost,Noord,52.40234851321929,4.945605172436635
Noord-Oost,Noord,52.391175189619325,4.99126532247176
Noord-Oost,Noord,52.39654120036609,4.9950158134634925
Noord-Oost,Noord,52.408602860072534,4.9337461505880364
Noord-Oost,Noord,52.39420870374392,4.957199084082797
Noord-Oost,Noord,52.38378947539988,4.965061834424677
Noord-Oost,Noord,52.38174634447294,4.967196918557768
Noord-Oost,Noord,52.3978052800146,4.924147226999714
Noord-Oost,Noord,52.393339885412956,4.956375472517956
Noord-Oost,Noord,52.39468216466242,4.932761276714949
Noord-Oost,Noord,52.40921272516219,4.964782359423401
Noord-Oost,Noord,52.399415060290295,4.95310647349768
Noord-Oost,Noord,52.39825249017214,4.9286089892434815
Noord-Oost,Noord,52.39585561189886,4.950574344379998
Noord-Oost,Noord,52.38475125121104,5.013557279589737
Noord-Oost,Noord,52.41487865357878,5.026700926309879
Noord-Oost,Noord,52.40232536276237,4.945455158504145
Noord-Oost,Noord,52.407481081711204,4.930565757435001
Noord-Oost,Noord,52.408739224513106,4.935103488938416
Noord-Oost,Noord,52.378728576815575,4.989368666964632
Noord-Oost,Noord,52.39771821042339,4.942374124822198
Noord-Oost,Noord,52.40438119061017,4.941818135977954
Noord-Oost,Noord,52.3894034062231,4.955929828096382
Noord-Oost,Noord,52.398681489330905,4.936629219830892
Noord-Oost,Noord,52.39560914576572,4.934592034105179
Noord-Oost,Noord,52.38311272914469,4.965958748939315
Noord-Oost,Noord,52.39882236404852,4.92562544748896
Noord-Oost,Noord,52.38258438940337,4.9664618749285365
Noord-Oost,Noord,52.396522868650045,4.995234116336136
Noord-Oost,Noord,52.39525924827626,4.948741155294839
Noord-Oost,Noord,52.39639711961589,4.953759806297187
Noord-Oost,Noord,52.39951527518427,4.951645129825897
Noord-Oost,Noord,52.40648236839518,4.966168879169846
Noord-Oost,Noord,52.39446585299704,4.945133846763909
Noord-Oost,Noord,52.40420597261026,4.960416685492309
Noord-Oost,Noord,52.37795780000006,4.991013737646961
Noord-Oost,Noord,52.383335931440406,5.0037078895760665
Noord-Oost,Noord,52.39905541393971,4.941274585794243
Noord-Oost,Noord,52.39701352312561,4.959170220563767
Noord-Oost,Noord,52.39098360889211,4.957893856788872
Noord-Oost,Noord,52.38686681321375,4.955770531671216
Noord-West,Noord,52.41396156720169,4.9063295790552806
Noord-West,Noord,52.40615646638288,4.896728601206471
Noord-West,Noord,52.41468291469318,4.881594417787742
Noord-West,Noord,52.409430019996414,4.889236808964599
Noord-West,Noord,52.404885449227876,4.908633225771374
Noord-West,Noord,52.41133040014749,4.90464616910642
Noord-West,Noord,52.42229892767681,4.886659400166071
Noord-West,Noord,52.41058952697544,4.904863320083038
Noord-West,Noord,52.41014588861747,4.906922813702854
Noord-West,Noord,52.423843189507366,4.885558025110616
Noord-West,Noord,52.40845654173405,4.906027978398211
Noord-West,Noord,52.412988143862805,4.889277786939885
Noord-West,Noord,52.40550396560155,4.901622414788666
Noord-West,Noord,52.42181737590049,4.887597927621361
Noord-West,Noord,52.42005888355176,4.895374748119271
Noord-West,Noord,52.40526399503591,4.899117057401642
Noord-West,Noord,52.40925485894076,4.907867623364938
Noord-West,Noord,52.40728912788311,4.903704471002239
Noord-West,Noord,52.417267002447275,4.90081981204998
Noord-West,Noord,52.4104534673401,4.906564529961288
Noord-West,Noord,52.401284570259435,4.909118653194554
Noord-West,Noord,52.405221018645584,4.899754973997263
Noord-West,Noord,52.40779075545296,4.9011009103002
Noord-West,Noord,52.406569490585696,4.908171581123927
Noord-West,Noord,52.41006763151246,4.9218162098491645
Noord-West,Noord,52.409801538837016,4.924184063670499
Noord-West,Noord,52.40110264099383,4.919737750802283
Noord-West,Noord,52.39949814522081,4.921976779037379
Noord-West,Noord,52.40261137882748,4.917183506146181
Noord-West,Noord,52.407041035938406,4.915531065398739
Noord-West,Noord,52.41419664956612,4.885833741031809
Noord-West,Noord,52.40250597229931,4.91109948907942
Noord-West,Noord,52.40171500908533,4.914017728807171
Noord-West,Noord,52.416506665942606,4.87891867052098
Noord-West,Noord,52.410766334731946,4.889243671243646
Noord-West,Noord,52.41838840463818,4.903857461150053
Noord-West,Noord,52.423555494067436,4.885394452523372
Noord-West,Noord,52.4151893295027,4.89240029216991
Noord-West,Noord,52.40509478603962,4.903170414236014
Noord-West,Noord,52.41033528248949,4.9079235175493325
Noord-West,Noord,52.409141409097074,4.907978754685674
Noord-West,Noord,52.41320534360121,4.908728654042709
Noord-West,Noord,52.424980374666816,4.886368481037776
Noord-West,Noord,52.40959205551358,4.902468154631781
Noord-West,Noord,52.40672191420352,4.902280165321463
Noord-West,Noord,52.416964052365586,4.891143154293041
Noord-West,Noord,52.420522564144804,4.891265979600841
Noord-West,Noord,52.40951909373108,4.907795975548771
Noord-West,Noord,52.41965715227206,4.902989646507225
Noord-West,Noord,52.40087899130336,4.920708979740623
Noord-West,Noord,52.42343234181899,4.885000010453068
Noord-West,Noord,52.40631459247288,4.922417797895226
Noord-West,Noord,52.404042015417154,4.900853956913756
Noord-West,Noord,52.41352422036988,4.920219989640879
Noord-West,Noord,52.421171111628325,4.901331710479738
Noord-West,Noord,52.4037640556338,4.9053722313969805
Noord-West,Noord,52.4200205533402,4.892694608527361
Noord-West,Noord,52.40895089938002,4.899948184321923
Noord-West,Noord,52.41661305950058,4.883068345769144
Noord-West,Noord,52.4036299821469,4.8997520680498186
Noord-West,Noord,52.420970972420804,4.9059930066594175
Noord-West,Noord,52.41505841969124,4.893954873714969
Noord-West,Noord,52.4085471522564,4.901864310808434
Noord-West,Noord,52.40308281240192,4.899181207874502
Noord-West,Noord,52.407764997985275,4.902479195305488
Noord-West,Noord,52.41101557468916,4.9032138873442594
Noord-West,Noord,52.41062742312808,4.9063304913674655
Noord-West,Noord,52.40982634417204,4.916161691841737
Noord-West,Noord,52.41576682095078,4.884025152802023
Noord-West,Noord,52.41080909707171,4.89375377382264
Noord-West,Noord,52.40344387826899,4.91735364774207
Noord-West,Noord,52.40112586207449,4.912017924223625
Noord-West,Noord,52.41012352988679,4.889259608866274
Noord-West,Noord,52.413439806688984,4.883350462136807
Noord-West,Noord,52.40716003312525,4.9148460367653115
Noord-West,Noord,52.423647392541575,4.887019217701105
Noord-West,Noord,52.418199454261284,4.895403695221058
Noord-West,Noord,52.41529174245271,4.890980888063365
Noord-West,Noord,52.42005585534271,4.901109219455665
Noord-West,Noord,52.41805189916145,4.881817540333086
Noord-West,Noord,52.40606183477307,4.899825169193112
Noord-West,Noord,52.402623934053366,4.90830363851787
Noord-West,Noord,52.41745841041692,4.899786571061315
Noord-West,Noord,52.40216585111265,4.912873894243796
Noord-West,Noord,52.42108395608495,4.893193410050542
Noord-West,Noord,52.414098656757666,4.906474718184564
Noord-West,Noord,52.42002643712823,4.888756149512843
Noord-West,Noord,52.41070985994159,4.907993266299391
Noord-West,Noord,52.41277998016531,4.893505580595518
Noord-West,Noord,52.40578784501867,4.897662270117305
Noord-West,Noord,52.413433488014995,4.884816667459128
Noord-West,Noord,52.41185689221597,4.888463632893488
Noord-West,Noord,52.40247834465825,4.907594001096025
Noord-West,Noord,52.40831266361912,4.904830410430274
Noord-West,Noord,52.41644882082157,4.899884972129541
Noord-West,Noord,52.41410903952298,4.892731980859985
Noord-West,Noord,52.405369405180025,4.903191837873579
Noord-West,Noord,52.41246356477714,4.907055590601397
Noord-West,Noord,52.40922190456313,4.901337236483792
Noord-West,Noord,52.4111788081975,4.886958873014527
Noord-West,Noord,52.40893726025669,4.900773076264531
Noord-West,Noord,52.404055003655316,4.909359639334312
Noord-West,Noord,52.403464874444566,4.907951071789985
Noord-West,Noord,52.41498869623347,4.886503201347751
Noord-West,Noord,52.40961687852118,4.924736909097884
Noord-West,Noord,52.41449446865718,4.907188024286782
Noord-West,Noord,52.410696898904085,4.893964391156387
Noord-West,Noord,52.41049724260297,4.901557301243329
Noord-West,Noord,52.41436958229927,4.8900327703074415
Noord-West,Noord,52.40939641022803,4.90238907009196
Noord-West,Noord,52.41738676918868,4.885133341652087
Noord-West,Noord,52.42349770077537,4.888058686921706
Noord-West,Noord,52.41066902828747,4.891140811885761
Noord-West,Noord,52.414198429717715,4.884270495699708
Noord-West,Noord,52.40431897249132,4.909680705551546
Noord-West,Noord,52.40431926241908,4.902964155750268
Noord-West,Noord,52.40210018074302,4.899840001853102
Noord-West,Noord,52.413104311238364,4.8817245703901175
Noord-West,Noord,52.40993379371159,4.906505031978531
Noord-West,Noord,52.41727663906916,4.905429268966305
Noord-West,Noord,52.403448886914155,4.898706337776156
Noord-West,Noord,52.41059308182769,4.908317383220525
Noord-West,Noord,52.42037138379263,4.894702949373991
Noord-West,Noord,52.41089572642337,4.895938812227113
Noord-West,Noord,52.406747474398465,4.923414110032056
Noord-West,Noord,52.40511918643891,4.912599098944638
Noord-West,Noord,52.41398245324806,4.882734720768985
Noord-West,Noord,52.4123454291447,4.906723742547028
Noord-West,Noord,52.42323729863504,4.885828940163337
Noord-West,Noord,52.411215939718595,4.895949197454343
Noord-West,Noord,52.41565748402039,4.899668884969312
Noord-West,Noord,52.40665110080804,4.893159844546838
Noord-West,Noord,52.40830634655873,4.89296076970829
Noord-West,Noord,52.410636468884476,4.895898169523296
Noord-West,Noord,52.40834097725393,4.907949974936223
Noord-West,Noord,52.41703033826859,4.882220657024865
Noord-West,Noord,52.4103878421073,4.90345769422496
Noord-West,Noord,52.421221901577454,4.901562481346998
Noord-West,Noord,52.414951483019436,4.8892743294321335
Noord-West,Noord,52.40986073560415,4.906513921853445
Noord-West,Noord,52.40242493123144,4.913631663903444
Noord-West,Noord,52.4239179015813,4.886441010523078
Noord-West,Noord,52.40327799798664,4.8993500191024255
